Flotac,Parasite,Pool,Sedimentation,FlukeFinder,Farm
5,F. hepatica,1,1.6,5.5,1
0,F. hepatica,2,0.4,2.5,1
0,F. hepatica,3,0.7,4.5,1
5,F. hepatica,4,0.2,3,1
125,C. daubneyi,1,63.4,104.5,1
205,C. daubneyi,2,94.1,193.5,1
125,C. daubneyi,3,82.1,112,1
135,C. daubneyi,4,45.7,95,1
5,F. hepatica,1,0.4,6,2
0,F. hepatica,2,0,0,2
0,F. hepatica,3,0.5,3,2
0,F. hepatica,4,0.6,3,2
75,C. daubneyi,1,43.9,47,2
85,C. daubneyi,2,24.3,56,2
40,C. daubneyi,3,28.3,38,2
60,C. daubneyi,4,35,69.5,2
5,F. hepatica,1,0.3,5,3
0,F. hepatica,2,0.7,2.5,3
0,F. hepatica,3,0.4,3.5,3
0,F. hepatica,4,0.2,1.5,3
120,C. daubneyi,1,78.6,129,3
85,C. daubneyi,2,48.3,64,3
225,C. daubneyi,3,81.2,216.5,3
165,C. daubneyi,4,60.9,116,3
0,F. hepatica,1,0,0,4
5,F. hepatica,2,0.2,4.5,4
0,F. hepatica,3,0.3,1,4
0,F. hepatica,4,0,4,4
55,C. daubneyi,1,30.5,32,4
60,C. daubneyi,2,24.3,59,4
25,C. daubneyi,3,10.2,29,4
20,C. daubneyi,4,9.8,19.5,4
0,F. hepatica,1,0,0,5
0,F. hepatica,2,0,0,5
0,F. hepatica,3,0,0,5
0,F. hepatica,4,0,0,5
35,C. daubneyi,1,11.6,37.5,5
20,C. daubneyi,2,4.7,15,5
20,C. daubneyi,3,5.9,15,5
15,C. daubneyi,4,6.8,14,5
5,F. hepatica,1,0.2,0.5,6
5,F. hepatica,2,0.9,3.5,6
0,F. hepatica,3,0.8,4.5,6
0,F. hepatica,4,0.4,5,6
60,C. daubneyi,1,31.9,54.5,6
0,C. daubneyi,2,0,5,6
5,C. daubneyi,3,0,0,6
0,C. daubneyi,4,0,0,6
0,F. hepatica,1,0,0,7
0,F. hepatica,2,0,0,7
0,F. hepatica,3,0,0,7
0,F. hepatica,4,0,0,7
130,C. daubneyi,1,60.5,119,7
285,C. daubneyi,2,100,244.5,7
60,C. daubneyi,3,11,22.5,7
65,C. daubneyi,4,12,23.5,7
0,F. hepatica,1,0,0,8
0,F. hepatica,2,0,0,8
0,F. hepatica,3,0,0,8
0,F. hepatica,4,0,0,8
65,C. daubneyi,1,28.4,40,8
15,C. daubneyi,2,11.8,22.5,8
40,C. daubneyi,3,14.4,17.5,8
60,C. daubneyi,4,9.9,50.5,8
0,F. hepatica,1,0,0,9
0,F. hepatica,2,0,0,9
0,F. hepatica,3,0,0,9
0,F. hepatica,4,0,0,9
115,C. daubneyi,1,60.8,79,9
35,C. daubneyi,2,4.8,40,9
85,C. daubneyi,3,38.4,93.5,9
440,C. daubneyi,4,98.2,315.5,9
0,F. hepatica,1,0,0,10
5,F. hepatica,2,0.7,4,10
0,F. hepatica,3,0.1,4.5,10
0,F. hepatica,4,0,0,10
50,C. daubneyi,1,9.2,36,10
70,C. daubneyi,2,35.2,75.5,10
95,C. daubneyi,3,48.3,72,10
45,C. daubneyi,4,29.8,36,10
