Mini-FLOTAC - EPG,Flukefinder- EPG,Sedimentation - EPG,Dose,Parasite
5,4,1.4,10, Calicophoron daubneyi 
0,4.5,1.2,10, Calicophoron daubneyi 
0,4,0.6,10, Calicophoron daubneyi 
5,2.5,0.8,10, Calicophoron daubneyi 
0,4,1.2,10, Calicophoron daubneyi 
0,3.5,1.6,10, Calicophoron daubneyi 
30,16,1.6,50, Calicophoron daubneyi 
35,19,1.4,50, Calicophoron daubneyi 
25,16,1.6,50, Calicophoron daubneyi 
35,10,2,50, Calicophoron daubneyi 
25,18,1.9,50, Calicophoron daubneyi 
25,14,1.8,50, Calicophoron daubneyi 
75,48,11.2,100, Calicophoron daubneyi 
75,50,10.6,100, Calicophoron daubneyi 
65,57.5,10.6,100, Calicophoron daubneyi 
65,49.5,10.8,100, Calicophoron daubneyi 
75,58,14.2,100, Calicophoron daubneyi 
70,50,12,100, Calicophoron daubneyi 
0,2,0.4,10, Fasciola hepatica
5,3.5,0.6,10, Fasciola hepatica
0,3,1,10, Fasciola hepatica
0,3.5,0.6,10, Fasciola hepatica
5,4,0.8,10, Fasciola hepatica
5,3,1,10, Fasciola hepatica
20,10,1.2,50, Fasciola hepatica
30,18,1.6,50, Fasciola hepatica
30,13,1.4,50, Fasciola hepatica
30,11,1.6,50, Fasciola hepatica
25,12.5,1.4,50, Fasciola hepatica
20,13.5,1.6,50, Fasciola hepatica
70,43.5,8,100, Fasciola hepatica
70,43.5,11,100, Fasciola hepatica
65,58,9.4,100, Fasciola hepatica
65,45,11.2,100, Fasciola hepatica
60,54,13,100, Fasciola hepatica
55,48.5,9.6,100, Fasciola hepatica
